event_name,event_link,opis,start_date_and_time,end_date_and_time,event_location,event_organizer,event_contact,event_cost,event_type
LA Film Fest,{'url': 'http://www.lafilmfest.com'},"The Los Angeles Film Festival is Southern California’s largest film event. The festival showcases the best in new American and international cinema and gives access to some of the most critically acclaimed film talent from around the world. Schedule includes red-carpet premieres, conversations with artists, and outdoor screenings. 

Events take place June 10 - 19, times and locations vary, please check website for details 

",2014-06-15T00:00:00,2014-06-15T00:00:00,,Film Independent,866-FILMFEST,$12 ,"Fairs & Festivals, Culture & Community"
LA Film Fest,{'url': 'http://www.lafilmfest.com'},"The Los Angeles Film Festival is Southern California’s largest film event. The festival showcases the best in new American and international cinema and gives access to some of the most critically acclaimed film talent from around the world. Schedule includes red-carpet premieres, conversations with artists, and outdoor screenings. 

Events take place June 10 - 19, times and locations vary, please check website for details 

",2014-06-16T00:00:00,2014-06-16T00:00:00,,Film Independent,866-FILMFEST,$12 ,"Fairs & Festivals, Culture & Community"
LA Film Fest,{'url': 'http://www.lafilmfest.com'},"The Los Angeles Film Festival is Southern California’s largest film event. The festival showcases the best in new American and international cinema and gives access to some of the most critically acclaimed film talent from around the world. Schedule includes red-carpet premieres, conversations with artists, and outdoor screenings. 

Events take place June 10 - 19, times and locations vary, please check website for details 

",2014-06-17T00:00:00,2014-06-17T00:00:00,,Film Independent,866-FILMFEST,$12 ,"Fairs & Festivals, Culture & Community"
LA Film Fest,{'url': 'http://www.lafilmfest.com'},"The Los Angeles Film Festival is Southern California’s largest film event. The festival showcases the best in new American and international cinema and gives access to some of the most critically acclaimed film talent from around the world. Schedule includes red-carpet premieres, conversations with artists, and outdoor screenings. 

Events take place June 10 - 19, times and locations vary, please check website for details 

",2014-06-18T00:00:00,2014-06-18T00:00:00,,Film Independent,866-FILMFEST,$12 ,"Fairs & Festivals, Culture & Community"
LA Film Fest,{'url': 'http://www.lafilmfest.com'},"The Los Angeles Film Festival is Southern California’s largest film event. The festival showcases the best in new American and international cinema and gives access to some of the most critically acclaimed film talent from around the world. Schedule includes red-carpet premieres, conversations with artists, and outdoor screenings. 

Events take place June 10 - 19, times and locations vary, please check website for details 

",2014-06-19T00:00:00,2014-06-19T00:00:00,,Film Independent,866-FILMFEST,$12 ,"Fairs & Festivals, Culture & Community"
Downtown Art Walk,{'url': 'http://www.downtownartwalk.org'},"The Downtown Art Walk is a monthly, self-guided tour of the art exhibition venues in Downtown Los Angeles, including commercial art galleries, public museums, nonprofit spaces, and grassroots arts venues. The event brings together art lovers and community friends to the ever-evolving Downtown Los Angeles.

",2013-06-12T12:00:00,2013-06-12T22:00:00,,Downtown LA Art Walk,,Free,"Culture & Community, Arts & Antiques, Free"
Annual Hollywood Fringe Festival,{'url': 'http://www.hollywoodfringe.org'},"The Hollywood Fringe Festival is an open-access event celebrating freedom of expression and collaboration in the performing arts community.. 

Events take place June 12 - 19, times and locations vary please check website for details 

",2013-06-12T00:00:00,2013-06-12T00:00:00,,Hollywood Fringe,,$12 Average ticket cost,"Fairs & Festivals, Culture & Community"
Annual Hollywood Fringe Festival,{'url': 'http://www.hollywoodfringe.org'},"The Hollywood Fringe Festival is an open-access event celebrating freedom of expression and collaboration in the performing arts community.. 

Events take place June 12 - 19, times and locations vary please check website for details 

",2013-06-13T00:00:00,2013-06-13T00:00:00,,Hollywood Fringe,,$12 Average ticket cost,"Fairs & Festivals, Culture & Community"
Annual Hollywood Fringe Festival,{'url': 'http://www.hollywoodfringe.org'},"The Hollywood Fringe Festival is an open-access event celebrating freedom of expression and collaboration in the performing arts community.. 

Events take place June 12 - 19, times and locations vary please check website for details 

",2013-06-14T00:00:00,2013-06-14T00:00:00,,Hollywood Fringe,,$12 Average ticket cost,"Fairs & Festivals, Culture & Community"
Annual Hollywood Fringe Festival,{'url': 'http://www.hollywoodfringe.org'},"The Hollywood Fringe Festival is an open-access event celebrating freedom of expression and collaboration in the performing arts community.. 

Events take place June 12 - 19, times and locations vary please check website for details 

",2013-06-15T00:00:00,2013-06-15T00:00:00,,Hollywood Fringe,,$12 Average ticket cost,"Fairs & Festivals, Culture & Community"
Annual Hollywood Fringe Festival,{'url': 'http://www.hollywoodfringe.org'},"The Hollywood Fringe Festival is an open-access event celebrating freedom of expression and collaboration in the performing arts community.. 

Events take place June 12 - 19, times and locations vary please check website for details 

",2013-06-16T00:00:00,2013-06-16T00:00:00,,Hollywood Fringe,,$12 Average ticket cost,"Fairs & Festivals, Culture & Community"
Annual Hollywood Fringe Festival,{'url': 'http://www.hollywoodfringe.org'},"The Hollywood Fringe Festival is an open-access event celebrating freedom of expression and collaboration in the performing arts community.. 

Events take place June 12 - 19, times and locations vary please check website for details 

",2013-06-17T00:00:00,2013-06-17T00:00:00,,Hollywood Fringe,,$12 Average ticket cost,"Fairs & Festivals, Culture & Community"
Annual Hollywood Fringe Festival,{'url': 'http://www.hollywoodfringe.org'},"The Hollywood Fringe Festival is an open-access event celebrating freedom of expression and collaboration in the performing arts community.. 

Events take place June 12 - 19, times and locations vary please check website for details 

",2013-06-18T00:00:00,2013-06-18T00:00:00,,Hollywood Fringe,,$12 Average ticket cost,"Fairs & Festivals, Culture & Community"
Annual Hollywood Fringe Festival,{'url': 'http://www.hollywoodfringe.org'},"The Hollywood Fringe Festival is an open-access event celebrating freedom of expression and collaboration in the performing arts community.. 

Events take place June 12 - 19, times and locations vary please check website for details 

",2013-06-19T00:00:00,2013-06-19T00:00:00,,Hollywood Fringe,,$12 Average ticket cost,"Fairs & Festivals, Culture & Community"
Target Free Family Saturday: Imagination Storytime,{'url': 'http://www.janm.org'},"Teleport yourself into musical and magical worlds through stories and exciting performances.  Sponsored by Target, these special Saturdays are filled with fun activities giving families unique ways to learn, play, and grow together. 

",2013-06-14T11:00:00,2013-06-14T16:00:00,,Japanese American National Museum,213-625-0414,Free,"Family Friendly, Free, Culture & Community"
Santa Monica Festival,{'url': 'http://www.smgov.net/festival'},"A free celebration of art, culture, and green activism. Groove to music as you shop for homemade goods, enjoy local food, and learn how to live sustainably.  

",2013-06-14T11:00:00,2013-06-14T18:00:00,,"City of Santa Monica Cultural Affairs Division, Community and Cultural Services Department, and Office of Sustainability and the Environment",310-458-8350,Free,"Family Friendly, Fairs & Festivals, Great Outdoors, Culture & Community"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on June 14 & 28

",2014-06-14T15:00:00,2014-06-14T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on June 14 & 28

",2014-06-28T15:00:00,2014-06-28T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
ARTrageous Art Walk,{'url': 'http://www.cpthirdthursday.com'},"This family-oriented event returns on the third Thursday of each month from May through September. The event features musicians, artists, vendors, and food trucks through the streets of Historic Downtown Canoga Park. 

",2014-06-19T18:00:00,2014-06-19T22:00:00,,Canoga Park Improvement Association,818-346-7480,Free,"Family Friendly, Free, Arts & Antiques, Culture & Community"
Fiesta de las Flores / Flower Day,{'url': 'http://www.calleolvera.com'},"The entire Monument including the colorful Olvera Street Mexican Marketplace will be decorated to create scenes from Los Angeles’ historic past. Various areas provide opportunities for both amateur and professional photographer alike. 

",2014-06-21T11:00:00,2014-06-21T19:00:00,,El Pueblo Historical Monument,213-485-8372,Free,"Family Friendly, Free, Great Outdoors, Culture & Community, Fairs & Festivals"
Catalina Above and Below,{'url': 'http://www.cabrillomarineaquarium.org'},"The Cabrillo Marine Aquarium will sponsor an observation and collecting expedition to Catalina Island aboard the 93-foot vessel, First String departing Los Angeles Harbor Sportfishing Landing in Ports O’ Call Village in San Pedro.  One of its most popular boat trips!  See first-hand, methods used by aquarium staff to capture marine specimens. 
 

",2014-06-22T06:00:00,2014-06-22T18:00:00,,City of Los Angeles Department of Recreation and Parks,310-548-7562,$95 ,"Family Friendly, Free, Great Outdoors"
Griffith Park Free Shakespeare Festival,{'url': 'http://www.iscla.org'},"This is the largest summer theater festival, presented outdoors in a natural amphitheater in Griffith Park. There are 10-weeks of free performances, including Twelfth Night, Richard III, and The Taming of the Shrew in rotating repertory all summer long!  This summer season also includes a variety of free, pre-performance programming including workshops for families, the Salon Series (lectures and discussions at the intersection of Shakespeare and contemporary culture), and performances from local LA artists. Bring your family and a picnic. 

Events take place June 26 through August 31, Thursdays through Sundays 

",2014-06-26T19:00:00,2014-08-31T22:00:00,,Independent Shakespeare Co.,818-710-6303,Free,"Family Friendly, Fairs & Festivals, Free, Great Outdoors, Culture & Community"
Cars & Stripes Forever!,,"More than 100 classic cars and motorcycles will be on display. Live music, fireworks, and a food and beer garden will be available, with proceeds benefitting the Los Angeles Fire Department Historical Society, the Los Angeles Maritime Museum, Los Angeles Port Police Foundation, and Clean San Pedro.",2014-06-27T17:00:00,2014-06-27T22:00:00,,Port of Los Angeles,310-732-3508,Free,"Fairs & Festivals, Culture & Community, Great Outdoors, Free"
"Bones and Blues
",{'url': 'http://www.wlcac.org'},"Bones and Blues is a monthly concert series featuring live blues and jazz music, domino tournaments, and a hearty barbecue dinner.

",2014-06-27T20:00:00,2014-06-27T23:00:00,,Watts Labor Community Action Committee (WLCAC),323-563-5639,"$25 Door, $15 Pre-sale",Culture & Community
San Fernando Valley Buddhist Temple Obon Festival,{'url': 'http://www.sfvhbt.org'},"This is one of the largest Obon festivals in Southern California. The event includes taiko drum performances, Japanese Folk Dancing, ethnic foods, Japanese cultural displays, and games. 

This event takes place on June 28 & 29

",2014-06-28T16:30:00,2014-06-28T21:00:00,,San Fernando Valley Hongwanji Buddhist Temple,818-899-4030,Free,"Family Friendly, Fairs & Festivals, Great Outdoors, Culture & Community"
San Fernando Valley Buddhist Temple Obon Festival,{'url': 'http://www.sfvhbt.org'},"This is one of the largest Obon festivals in Southern California. The event includes taiko drum performances, Japanese Folk Dancing, ethnic foods, Japanese cultural displays, and games. 

This event takes place on June 28 & 29

",2014-06-29T16:30:00,2014-06-29T21:00:00,,San Fernando Valley Hongwanji Buddhist Temple,818-899-4030,Free,"Family Friendly, Fairs & Festivals, Great Outdoors, Culture & Community"
Cal Phil Festival on the Green,{'url': 'http://www.calphil.org'},"The California Philharmonic hosts its annual Festival on the Green concert series with music, food, and a great location combine into a magical blend unparalleled in Southern California. An engaging maestro, a world-class orchestra, and top soloists ensure enjoyment for all. Live jazz, dining, and family activities begin at 5:30 p.m. 

This event takes place on June 28 & 29

",2014-06-28T19:30:00,2014-06-28T22:30:00,,California Philharmonic,626-300-8200,$20 - $98,"Family Friendly, Fairs & Festivals, Great Outdoors, Culture & Community"
Cal Phil Festival on the Green,{'url': 'http://www.calphil.org'},"The California Philharmonic hosts its annual Festival on the Green concert series with music, food, and a great location combine into a magical blend unparalleled in Southern California. An engaging maestro, a world-class orchestra, and top soloists ensure enjoyment for all. Live jazz, dining, and family activities begin at 5:30 p.m. 

This event takes place on June 28 & 29

",2014-06-29T19:30:00,2014-06-29T22:30:00,,California Philharmonic,626-300-8200,$20 - $98,"Family Friendly, Fairs & Festivals, Great Outdoors, Culture & Community"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing July 26 - Radiotron (Hip-hop, dance, art)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-07-26T20:00:00,2014-07-26T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing July 26 - Kiddle Karoo (Children’s rock puppets)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-07-20T18:30:00,2014-07-20T20:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing July 31 - Upground (Latin ska)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-07-31T20:00:00,2014-07-31T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 1 - Luz Roja de San Marcos & Sonora Santanera (Central American)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-01T17:00:00,2014-08-01T19:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 1 - Luz Roja de San Marcos & Sonora Santanera (Central American)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-01T20:00:00,2014-08-01T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 2 - Benny y sus Tropicales & Chavos de la Cumbia (Central American)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-02T17:00:00,2014-08-02T19:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 2 - Benny y sus Tropicales & Chavos de la Cumbia (Central American)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-02T20:00:00,2014-08-02T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 2 - Benny y sus Tropicales & Chavos de la Cumbia (Central American)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-02T20:00:00,2014-08-02T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 3 - José-Luis Orozco & Friends (Children’s interactive bilingual) 

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-03T15:30:00,2014-08-03T17:30:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 7 - Dublab Presents: Myron & E. & Wondem Band (Eclectic) 

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-07T20:00:00,2014-08-07T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 8 - KPOP Night: Mike B. (Hip-hop dance) 

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-08T20:00:00,2014-08-08T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 9 - Boca do Rio (Brazilian) 

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-09T20:00:00,2014-08-09T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 10 - Lucky Diaz & the Family Jam Band (Children’s latin bilingual) 

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-10T18:30:00,2014-08-10T20:30:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 14 - Metalachi (Latin alternative)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-14T20:00:00,2014-08-14T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 15 - BMI Summer Nights: Master Blaster Sound System with opener: Niña Dioz (Latin)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-15T20:00:00,2014-08-15T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 16 - Beatles Retrospective with the Omega String Quartet *A Promise Zone Concert (Classic rock)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-16T20:00:00,2014-08-16T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 17 - Silk Road ll (Children’s Korean and Mongolian dance)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-17T18:30:00,2014-08-17T20:30:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 21 - Cambalache (Latin traditional)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-21T20:00:00,2014-08-21T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 22 - Young Dubliners (Celtic rock)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-22T20:00:00,2014-08-22T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 23 - Rocky Dawuni (Reggae)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-23T20:00:00,2014-08-23T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 24 - Birdie’s Playhouse (Children’s interactive bilingual) 

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-24T18:30:00,2014-08-24T20:30:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 28 - La Resistencia (Latin ska)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-28T20:00:00,2014-08-28T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 29 - Quetzal (Latin traditional Chicano)

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-29T20:00:00,2014-08-29T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
2014 Summer Concert Season at Levitt Pavilion - MacArthur Park,{'url': 'http://www.levittla.org'},"Located in MacArthur Park, the Levitt Pavilion offers 50 concerts this summer, featuring internationally recognized musicians and critically acclaimed performers. Enjoy music from around the world and across America with family and friends! 

Performing August 30 - La Santa Cecilia

Events take place July through August, Thursdays through Sundays, please check website for more information.

",2014-08-30T20:00:00,2014-08-30T22:00:00,,Friends of the Levitt Pavilion – MacArthur Park,,Free,"Culture & Community, Family Friendly, Free"
Theatricum Botanicum 2014 Summer Repertory Season,{'url': 'http://www.theatricum.com'},"Join the annual summer season of Shakespeare and the classics set in a rustic, outdoor amphitheater located in a natural canyon ravine. Picnickers are welcome.

Events take place July through October. Times and dates vary by performance, please check website for more information.

",2014-07-01T00:00:00,2014-10-31T00:00:00,"{'human_address': '{""address"":""1419 N Topanga Canyon Blvd"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",Will Geer Theatricum Botanicum,310-455-3723,"Adults $10 - $33, Children 5 and under free","Culture & Community, Family Friendly, Great Outdoors"
1st Thursday San Pedro Art Walk,{'url': 'http://www.1stthursday.com'},"On the first Thursday of each month, the artists, entertainers, and business people of San Pedro celebrate the arts with an evening of open galleries, studios, street vendors, and live entertainment in the Downtown San Pedro Arts District.  Downtown San Pedro is magically transformed into a village of creativity surrounded by historical architecture, including the magnificent Warner Grand Theatre, quaint restaurants and cafes, plus plenty of places to shop for unusual items and gifts. Bring the whole family for an enjoyable evening in this seaside village.    

",2014-07-03T17:00:00,2014-07-03T21:00:00,,San Pedro Peninsula Chamber of Commerce,,free,"Family Friendly, Culture & Community, Arts & Antiques, Free"
Annual 4th of July Street Fair in Ventura,{'url': 'http://www.cityofventura.net/streetfairs'},"This popular annual event attracts up to 50,000 people to Downtown Ventura and features 300 artisans, food booths, nonprofit organization displays, and four stages of continuous live entertainment.    

",2014-07-04T10:00:00,2014-07-04T17:00:00,,City of Ventura Cultural Affairs Division,805-654-7749,free,"Family Friendly, Holiday Celebration, Fairs & Festivals"
4th of July Celebration at Hansen Dam,{'url': 'http://www.laparks.org'},"A holiday celebration in the San Fernando Valley featuring music and other live entertainment, food, and fireworks. Booths offer information about safety, health, community resources, and more. Come take a swim in the 1.5-acre swim lake available for use during the day. Attendees are encouraged to bring a picnic.    

",2014-07-04T10:00:00,2014-07-04T22:00:00,,City of Los Angeles Department of Recreation and Parks,818-899-8087,free,"Family Friendly, Culture & Community, Holiday Celebration, Free, Great Outdoors"
Annual Vision Outside 4th of July Jazz and Blues Festival,{'url': 'http://www.culturela.org'},"Come celebrate the 4th of July at the Vision Theatre in Leimert Park with the rich cultural heritage of the diverse sounds of jazz and blues. There will also be children’s arts and crafts, face painting, delicious food available, and free watermelon.   

",2014-07-04T13:00:00,2014-07-04T19:00:00,,"City of Los Angeles Department of Cultural Affairs & City Council 
District 8
",213-202-5500,free,"Family Friendly, Culture & Community, Holiday Celebration, Free"
Fourth of July in Monterey Park,{'url': 'http://www.ci.monterey-park.ca.us'},"The day will feature entertainment, food, fireworks, and fun for the entire family.  Patriotic activities include children's crafts and music by the Monterey Park Concert band. 

",2014-07-04T15:00:00,2014-07-04T20:00:00,,Monterey Park Cherry Blossom Festival,626-307-1388,free,"Family Friendly, Holiday Celebration, Free"
City of Diamond Bar’s Annual 4th of July Blast,{'url': 'http://www.cityofdiamondbar.com'},"Spend the summer afternoon at the park with family, friends, and neighbors. Bring a picnic or enjoy a variety of concessions available. Kids’ crafts, face painting, and patriotic musical performances lead up to a spectacular fireworks display. A great way to celebrate Independence Day! 

",2014-07-04T17:00:00,2014-07-04T21:30:00,"{'human_address': '{""address"":""501 S Diamond Bar Blvd"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",City of Diamond Bar,909-839-7070,free,"Family Friendly, Holiday Celebration, Free"
July 4th Fireworks Extravaganza,{'url': 'http://valleycultural.org'},"Fourth of July fireworks have returned to the West Valley! With the largest attendance of any 4th of July celebration in the San Fernando Valley, this Extravaganza provides an audience of 40,000 people with a free concert and fireworks show. Come and get up close and personal with the biggest event in the valley.     

Concert at 6:00 pm, Fireworks at 9:10 pm.    

",2014-07-04T18:00:00,2014-07-04T23:00:00,,Valley Cultural Center,818-704-3456,free,"Family Friendly, Holiday Celebration, Free"
