naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi,kategorije_sifre_new,kategorije_nazivi_new
Začetek sezone fontane piv 2020,fontana prvič pipa sezona odpreti sobota ura vabiti akrobatski začetek nov sezona pričeti dunking devils čakati bogat bbq kulinarika okusen pivo nov sezona fontana pivo vabljen nov sezona skočiti,2020-03-28 19:00:00,342,669144513254081.0,21,Drinks,21,Drinks
Sobota 20.7.2019 ob 21 00 Koncerti–Teo Collori in Momento cigano,momento cigano postreči avtorski glasba mešanica plesen swing romski glasba zagotovo zasrbeti iti skupina akademsko izobražen glasbenik sestavljati tea collora kitara matija krečič violina matej kožeti klarinet jan gregorek bas metoda banka kitara plošča hota club piran glasben portal izbran album leto leto plošča izdati svetoven znan ameriški založba lowtemp zasedba tea collora kitara vokal matija krečič violina matej kožeti klarinet jan gregorek bas metoda banka kitara,2019-07-20 21:00:00,135,1502500876637077.0,2,Music,2,Music
Trbowle Trails - enduro/trail furanje,borovec greben borovničke trbovlje tekmovalen proga javor zdaleč edin trail vreden pozornost mtba trbovlje odločiti zaključek sezona razkazati trail trbovlje voziti pozor nov pozkusiti trenutno pričeti pripravljati nov trail sobota oktober zbor kamnolom kalec cca trbovlje smer čebinesvet planina zbiren mesto moč zgrešiti skupaj podati svet planina tam slediti spust zbiren mesto predvidoma razdeljen skupina glede želja vzpon predvidevati višinec zaključiti popoldne preseliti okrepcevalnica oskar pica tortilja pivo veljati omeniti ponudba slednji živilo zelo raznovrsten velik televizija sproti ogledati lanski izvedba dirka mercedesbenz mountain bik world cup lošinj nov informacija povabiti prihajajoč svetoven pokal lošinj maj naslednji leto dobiti primer slab vreme vabljen,2019-10-26 09:00:00,593,2933882366627089.0,3,Sports,3,Sports
"Domžale - Malmö, 2. krog kvalifikacij za UEL",evropski pot nadaljevati četrtkov domač tekma vstopnica predprodaja lahko zagotoviti nka bar,2019-07-25 20:45:00,254,512740435413054.0,3,Sports,3,Sports
Otvoritev sezone! Torkov Just TRUST Us @Kavarna&Klub TRUST,dobrodošel nov sezona vabljen torkov zabava pokal nor energija strežen team obiskovalec sezona veliko dober raznolik program torkov zabava potekati nadstropje kavarna klub trust vstopnina entranec fre info happy hour polnoč boat meson viski cola hav rum cola gin tonica vodka kavarna noč klub mix sharka vodka meson cola juica vodka hav cola shooter zajčji tačka truston minister zdravje opozarjati uživanje alkohol lahko zdravje izgubljen predmet pozabljen oblačilo lahko prevzeti klub dan dogodek ura termin lahko poklicati lost items and forgotten clothes can picked ata club trust day after event between and hour you can alsa call during this terme kavarna hiša zabava trust cesta maribor office club kavarna trust,2019-10-01 21:00:00,400,292388893066.0,15,Party,15,Party
BORKA w. Kutmah & Maja Milich,ljubljana dolg čas točno leto vračati beatniški naveza kutma maj milich tokrat borkin rezidenca kutma pionir losangeleški scena beat zgodovinski knjiga zapisati vodenje klubski večer sketchbook prehitevati napovedati lowendovskoflylojevskodibia ovskogaslampkillerski noreti hajp slediti sketchbook kulten večer pomeniti začetek danes trendseterski beats scena los angeles kutma hitrosten brezhiben tehnika miksanje brezkompromisen selekcija seči mil soul temačno distorziran basovje veljati didžejati didže voditi hudo nišen visokospoštovan založba izwid dan najbolj konsistenten založba beatovje all city založniški korak hoditi hudson mohawki prihajati nov maj milić hrvaški didžejka voditi radijski oddaja občasen klubski večer beat futur preteklost pomeniti nujno osvežitev zagrebški scena maj dandanes raje organizirati dogodek brskati neklišejski kotiček klubski muzika bar kutma izwid maj milich beat futur borka vstopnina artworka fejza košir podpora,2020-02-28 23:30:00,353,278033762715590.0,"8,15,71","Experimental hip hop,Party,Limited to people 18 and older",15,Party
GADI -Coffee Shop - dogodek je prestavljen,dogodek prestavljen trenuten razmera dogodek prestaviti kasen datum točen datum objavljen gad bližati nor fešta poln ples norenje jutro odklop sobota datum slediti coffe shop rogaški slatina malo malo malo skupina gad vžgati znoreti vstopnina malo malo coffe shop rogaški slatina pozor zelo pomemben obvestilo zrihtati tax,2020-03-28 19:00:00,260,605247826160261.0,15,Party,15,Party
Peru in Ekvador,per ekvador izredno raznolik država južen amerika mesec potovanje država videti praktično možen pokrajina čoln pluti amazonski džungla iskati jaguar nadmorski višina hoditi vulkan občudovati ledenik vozilo sipina perujski puščava najti oaza kopati tropski slap sončiti peščen plaža začiniti obisk številen izkopanina npr mach picch choquequirao nazec linesa izvesti fizikalen poskus medtem stati direktno ekvator vabljen potopis pisan svet peru ekvador,2020-03-11 18:00:00,355,437358019719185.0,15,Party,15,Party
Radgonska noč,vročica poleten soboten noč odličen glasba družba žlahten kapljica gornji radgona vračati radgonski noč leto trg svoboda odviti sobota avgust popoldanski program pričeti ura večeren del zvezda večer nina pušlar ura dalje vstop prost program majolkin golažijada otroški program spremljevalen program koncert nina pušlar predskupina horizont,2019-08-24 15:00:00,2474,2419431331428366.0,"15,16","Party,Kid Friendly",15,Party
24. Veganski Pohod za Vsakogar - Krn (2244 m),veganski pohod krn kdaj nedelja kje štartati doma lepen prijaviti sms robert pozdravljen ljubitelj hrib narava prijeten družba nedelja odpravljati zadnji pohod velik uraden zaključek planinski sezona veganski pohod dvodneven vzpon triglav izvedeti oza teden september kjer podeliti nagrada pohodnikec sezona nedelja odpravljati visok verjetno zahteven vzpon veganski pohod sedaj pričakovan osnoven kondicijski pripravljenost gorski oprema udeleženec pohod posebnost pohod lahko počutiti dovolj kondicijsko sposoben vzpon krn počakati krnski jezero oza planinski dom izhodišče ura vzpon ostati lahko slab ura povzpeti sam velik posebnost pohod pogostitev čakati planinski dom lepen volja imeti ješprenov kaša jota poleten oza testenina paradižnikov omaka sladek oza veganski palačinka dogovor lahko pripraviti pasulj lečina enolončnica oza podoben imeti rižev mleko petek sporočiti prijava pohod pojesti planinski lepen verjetno ustaviti pot nazaj krn višina visok krnski pogorje pogorje strmo dvigati osrednji delo reka soč vrh nahajati razgleden plošča odpreti lep razgled seči jadranski morje matajur breginjski oza kobariški stol kanina severno vzhodno stran odpreti lep razgled visok vrh julijski alpa lep vreme razgled seči bistveno daleč prijava lahko organizacija prositi udeležba sporočiti sms telefonski številka mogoč sobota sms javiti ime dan pohod vedeti počakati potrebujenuditi prevoz povedati pohod lahko več udeležiti narava nepotreben onesnaževati dodaten pojasniti volja dan pohod dobiti planinski dom klement jug lepen ljubljana štartati parkirišče trgovina lidl celovški cesta vižmar primer potrditi udeležba vseeno priti sprememba prositi sporočiti ura prej dostop izhodišče opis pot dodaten informacija veganski pohod veganski pohod zapisan ime namenjen organiziran stran prostovoljec slovenski veganski društvo udeležba pohod lasten odgovornost pohod porušiti mit vegan šport iti skupaj resnica nasproten pohod poskusiti izboljšati podpreti ponudba veganski obrok gorski koča najbolj pomemben namen dober družba preživeti več čas narava slovenski veganski društvo veganski izziv,2019-09-01 07:30:00,277,351215035444221.0,"3,100,118,245","Sports,Mountaineering,Fitness training,Vegan",3,Sports
"Strunjanski enodnevni oddih za vso družino, pare in posameznike.",strunjanski oddih družina para posameznik domačija knez vabiti ljubitelj narava enodneven strunjanski doživetje družina vodstvo lokalen vodnik mladen knez pričetek prijeten pohod gostilna sosič strunjan doživetje zaključiti domačija knez iti dolg pohod strunjan portorož kjer možen postanek kava sladica lasten želja pot nazaj voditi tunel strunjanski solina ribiški pristanišče vzeti čas dolg oddih kjer pojesti prinesti omogočen možnost kopanje morje nadaljevati pot sčuža edin slovenka laguna mesečev zaliv povzpeti belveder kjer razprostirati okopomirjajoč pogled tržaški zaliv triglav strunjan prijeten pohod zaključiti domačija knez tukaj lahko družba verificiran degustatorka mirjana knez degustirati oljčen olje kruh sir spiti kozarec vino sok spoznati ostati ponudba pripraviti kdaj nedelja maj rezervacija obvezen čas trajanje doživetje skupina omejen majhen velik število udeleženec cena odrasel eura otrok leto eura leto brezplačno pot celota primeren otroški voziček rezervacija informacija mladen kneze fba domačija knez,2020-05-31 10:00:00,297,581053088693490.0,"1,16,85,168","Wellness,Kid Friendly,Hiking,Board game",1,Wellness
Korotanova PLAVA NOČ 2019,tekma vzhod obujati dogodek poskrbeti mesto zbrati navijač igralec trener podpornik sponzor nogometen entuziast žila teči plavati korotanov kri vabljen ogled tekma veliko zabava ansambel marka gostenčnik milan kamnik,2019-09-07 18:00:00,207,1431820163701830.0,15,Party,15,Party
★ Goriški Smeh ★ Brezplačno stand up gledališče na prostem,pripravljen soboten krepitev trebušen mišica klub goriški študent različen lokacija nov gorica sobota avgust oktober pripravljati izjemen predstava prost sobota kje stopnišče center spomenik edvard rusjan začetek sobota yuga domagoj pintarić andrija golubić kje bor gozdiček začetek sobota kuda kiks đenny iimpreti team kje stopnišče sng nov gorica začetek sobota ful dora kje spiaggia plaža liv musica bar začetek sobota matica kokošara blaža curka žan papič kje stopnišče knjižnica france bevkati začetek sobota gašper bergant marka žerjati saša star kje mostoven prost začetek sobota kobal boris nov predstava radio poper kje spiaggia plaža liv musica bar začetek sobota kuzman kje trg edvard kardelj mesten občina restavracija vrtnica začetek primer slab vreme dogodek izvesti lokacija dogodek vstopnina gorica smejati vabljen projekt sofinancirati mesten občina nov gorica,2019-10-19 19:00:00,104,112753758736406.0,"15,16","Party,Kid Friendly",15,Party
★ Goriški Smeh ★ Brezplačno stand up gledališče na prostem,pripravljen soboten krepitev trebušen mišica klub goriški študent različen lokacija nov gorica sobota avgust oktober pripravljati izjemen predstava prost sobota kje stopnišče center spomenik edvard rusjan začetek sobota yuga domagoj pintarić andrija golubić kje bor gozdiček začetek sobota kuda kiks đenny iimpreti team kje stopnišče sng nov gorica začetek sobota ful dora kje spiaggia plaža liv musica bar začetek sobota matica kokošara blaža curka žan papič kje stopnišče knjižnica france bevkati začetek sobota gašper bergant marka žerjati saša star kje mostoven prost začetek sobota kobal boris nov predstava radio poper kje spiaggia plaža liv musica bar začetek sobota kuzman kje trg edvard kardelj mesten občina restavracija vrtnica začetek primer slab vreme dogodek izvesti lokacija dogodek vstopnina gorica smejati vabljen projekt sofinancirati mesten občina nov gorica,2019-09-07 19:00:00,207,112753758736406.0,"15,16","Party,Kid Friendly",15,Party
★ Goriški Smeh ★ Brezplačno stand up gledališče na prostem,pripravljen soboten krepitev trebušen mišica klub goriški študent različen lokacija nov gorica sobota avgust oktober pripravljati izjemen predstava prost sobota kje stopnišče center spomenik edvard rusjan začetek sobota yuga domagoj pintarić andrija golubić kje bor gozdiček začetek sobota kuda kiks đenny iimpreti team kje stopnišče sng nov gorica začetek sobota ful dora kje spiaggia plaža liv musica bar začetek sobota matica kokošara blaža curka žan papič kje stopnišče knjižnica france bevkati začetek sobota gašper bergant marka žerjati saša star kje mostoven prost začetek sobota kobal boris nov predstava radio poper kje spiaggia plaža liv musica bar začetek sobota kuzman kje trg edvard kardelj mesten občina restavracija vrtnica začetek primer slab vreme dogodek izvesti lokacija dogodek vstopnina gorica smejati vabljen projekt sofinancirati mesten občina nov gorica,2019-08-24 19:00:00,554,112753758736406.0,"15,16","Party,Kid Friendly",15,Party
★ Goriški Smeh ★ Brezplačno stand up gledališče na prostem,pripravljen soboten krepitev trebušen mišica klub goriški študent različen lokacija nov gorica sobota avgust oktober pripravljati izjemen predstava prost sobota kje stopnišče center spomenik edvard rusjan začetek sobota yuga domagoj pintarić andrija golubić kje bor gozdiček začetek sobota kuda kiks đenny iimpreti team kje stopnišče sng nov gorica začetek sobota ful dora kje spiaggia plaža liv musica bar začetek sobota matica kokošara blaža curka žan papič kje stopnišče knjižnica france bevkati začetek sobota gašper bergant marka žerjati saša star kje mostoven prost začetek sobota kobal boris nov predstava radio poper kje spiaggia plaža liv musica bar začetek sobota kuzman kje trg edvard kardelj mesten občina restavracija vrtnica začetek primer slab vreme dogodek izvesti lokacija dogodek vstopnina gorica smejati vabljen projekt sofinancirati mesten občina nov gorica,2019-10-05 19:00:00,129,112753758736406.0,"15,16","Party,Kid Friendly",15,Party
★ Goriški Smeh ★ Brezplačno stand up gledališče na prostem,pripravljen soboten krepitev trebušen mišica klub goriški študent različen lokacija nov gorica sobota avgust oktober pripravljati izjemen predstava prost sobota kje stopnišče center spomenik edvard rusjan začetek sobota yuga domagoj pintarić andrija golubić kje bor gozdiček začetek sobota kuda kiks đenny iimpreti team kje stopnišče sng nov gorica začetek sobota ful dora kje spiaggia plaža liv musica bar začetek sobota matica kokošara blaža curka žan papič kje stopnišče knjižnica france bevkati začetek sobota gašper bergant marka žerjati saša star kje mostoven prost začetek sobota kobal boris nov predstava radio poper kje spiaggia plaža liv musica bar začetek sobota kuzman kje trg edvard kardelj mesten občina restavracija vrtnica začetek primer slab vreme dogodek izvesti lokacija dogodek vstopnina gorica smejati vabljen projekt sofinancirati mesten občina nov gorica,2019-10-19 19:00:00,104,112753758736406.0,"15,16","Party,Kid Friendly",15,Party
Zimski pohodi na Sv.Ano v sezoni 2019/2020,klub ponosen posameznik sodelovanje projekt športen unija slovenija slovenija gibanje gibati dober namen objavljati začetek tradicionalen zimski pohod leten čas cilj začetek pohod ura zaključek pohod ura pravilo šteti vzpon dan opravljen dolina pohodnik razpisan termin opraviti najmanj vzpon lahko sodelovati zaključen prireditev predvidoma sobota mesec maj točen datum pohodnik pravočasno obveščen pohodnik moški ženski konkurenca opraviti največ vzpon prejeti praktičen nagrada sponzor pozabiti leto prestopen zato imeti možnost opraviti vzpon več max vpisen knjiga razpolaga običajen mesto pošten predal cerkev ribnica dalje vabljen ljubitelj pohod narava tišina priljubljen pohodniški točka,2019-11-01 10:00:00,118,795195767313804.0,"3,16,85","Sports,Kid Friendly,Hiking",3,Sports
Urbani utrip na Špici,urban utrip špica avgust špica urban utrip mesto urban kino špica tretjič letošnji poletje družiti ustvarjati praviti urban vajba tokrat športen obarvan odštevati dan festival urban kultura fuks četrtek avgust dobiti špica kjer čakati avobody pilates flow ljubljanica preizkusiti ravnotežje sup bananaway woop fan zona skakati dunking devils druženje popestriti dje tapravi urban ritem vstop prost vabljen dogodek sofinancirati visiti ljubljana,2019-08-22 17:00:00,839,498557434210561.0,3,Sports,3,Sports
K4 Gibanica,otvoritev sezona najbolj sočen serialka klet poseči daleč avtohton gibaniški ravnica prekmurje originalen recept prihajati izkušen dje producent timotej bertalanič titi chinati domač scena spoznati leto turneja klubski maraton radio študent ujeti domač radar titi nanizati izdaja konkreten založba minus alchemy records manual musica zadnji leto mojster harmonija področje delovanje širiti klubski godba vedno redno izdajati domač platforma soundhitectures berlinski katalog nie wieder schlafen chinati družba velik floore delati član letošnji kleten dje delavnica new blood sparka funka soul hiphop testo majhen floore mesiti mladec džigati kranski velik titi chinati nie wieder schlafen soundhitectures sparka mali džigati kranski klub kersnikov ljubljana starosten omejitev aga limit vstopnina entranec info info garderoba lost founda gmailca,2019-09-06 23:00:00,255,126700024052347.0,38,Dance,38,Dance
Zeleni sejem,prazničen čas obarvan prijaznost dobro hrana majhen pozornost narisati nasmeh hvaležnost bližnji december pripravljati božičen sejem lahko kupiti darilce narejen duh spoštovanje zdravje družba narava žival božičen vzdušje pričarati zelen okrašen stojnica butičen trajnosten prijazen trgovina zvočnik igrati prijeten prazničen glasba zrak dišati okusen rastlinski hrana pogreti majhen velik želodček sladek zob poskrbeti veganski sladica dražiti upirati prinesti lonček posodica pribor lahko jesti piti poceni trajnosten pribor imeti lahko kupiti sejem dopoldanski čas otrok družiti glasben pravljica sprostiti popeljati svet glasbilo naraven material svet dihati glas pozornost otrok spoznati joga otrok starš ostati odrasel lahko udeležiti delavnica lahko sam izdelati naraven čistilo poslušati predavanje bivanje hiša naraven material ekološki vas udeležiti okrogel miza potrošništvo gradben biolog lahko zastaviti različen vprašanje tema zdrav bivalen okolje problematika elektromagneten sevanje kupiti dobrodelen srečka dobiti luštno pozornost srečka dobiten izkupiček srečelov iti mariborski trgovina embalaža zelen japka nedavno požgati vandal topel družaben prostor gnezdo popoldne ogledati odličen dokumentaren film tomorrow izvrsten način dober rešitev spodbujati lokalen skupnost svet zdravje mir prihodnost spremeniti način življenje dobro dogodek imeti stran urnik dogodek delavnica izdelava naraven čistilo danjel grahek gnezdo doa udeležba delavnica dogodek otrok joga malček zal grahek joga otrok zal grahek zvočen pravljica mina kunstelj svetovanje gradben biolog zastaviti lahko različen vprašanje tema zdrav bivalen okolje problematika elektromagneten sevanje igor šajna obiskovalec svetovanje prejeti bon skupen vrednost lahko unovčiti naročiti meritev veljati paket bivalen okolje predavanje zdravo bivalen okolje problematika elektromagneten sevanje predavanje naraven gradnja anton pugelj gnezdo doa sreča doma lesen hiša ekoart mihati bogataj vrhunski praksa ekološki naselje nara petrovič okrogel miza spreminjati svet spreminjati svet maj primožič zelen planet jan miklavčič pot manj odpadek senka šifkovič vrbica pravnoinformacijski center nevladen organizacija višnja gavran center ponoven uporaba projekcija dokumentaren film tomorrow razprodan sejem zelen sejem odvijati dvorišče gnezdo center sonaraven gradnja ljubljanski šentvid naslov štula ljubljana opis pot parkiranje celovški cesta zaviti prušnikov osrednji cesta šentvid sam kraj prireditev parkiren mesto svetovati parkirati prušnikov zelen sejem odpraviti peš gnezdo nahajati tik proga neposreden bližina škofijski zavod velik parkirišče obiskovalec sejem rezerviran škofov zavod škofijski gimnazija škofov zavod prušnikov rdeč blok zaviti štularjev konec štularjev zaviti desno prečkati železniški proga takoj zatem zaviti levo kmalu zatem desno parkirišče škofov zavod takoj proga zaviti levo kmalu zatem desno parkirišče škofov zavod preživeti decembrski sobota zdrav prijazen božičen vzdušje takrat spremljati dogodek primer zelo slab vreme dogodek prestavljen naslednji vikend,2019-12-07 10:00:00,1390,219609211386231.0,"1,4,16","Wellness,Volunteering,Kid Friendly",1,Wellness
Otvoritev Nove Sezone Zabav I 28.September Čili Club,poleten pavza najbolj pekoče zabava vračati mesto otvoritev nov sezona zabava sobota čil bar club btce city murski sobota več info kmalu,2019-09-28 21:00:00,713,1461682140639867.0,"12,15,30,50","Dancing,Party,Nightlife,Dance music",15,Party
Holder / 7777 dni kasneje,koncert skupina holder originalen zasedba obletnica izdaja plošča daleč stran soden dan,2019-12-07 21:30:00,148,195088367551709.0,2,Music,2,Music
Večer ob ognju s Carmen manet,klub študent kranje sklop erasmus izmenjava grow prirejati dolgo pričakovan večer ogenj dekliški pevski zbor carmen manet mešan plošča serviran ubran zborovski žvrgolenje domač mednaroden pesem ponovno dokazati glasba dober hrana prijetno vzdušje povezovati glede kod prihajati dekle glas ogreti srce ogenj marshmallov marshmallov želodček sam lbezen toplo vabljen medkulturen glasben večerja dvorišče kavarna khislstein dodaten glasben inštrument dobrodošel vstopnina,2019-09-19 19:30:00,329,530642490327514.0,2,Music,2,Music
Šentech x Brucovanje 2019,šentech šentjur ponovno vračati šentech tokrat povezava kjer lahko nov bruc dolgo leto študij kdaj kje parkirišče športen park šentjur lineup kost radman official minless alex ranerra beatport robert lauerto liti nylon berny white pozor prost vstop aktualen član včlanitev klub mlad šentjur študent dijak občina šentjur dobje imeti status prinesti potrdilo vpis zagotoviti prost vstop vstopnica dan dogodek vstopnica volja mesto olaia trafika omva slovenija pisarna škmti starosten omejitev sentjur sentech brucomor electra techno,2019-11-16 21:00:00,333,337798656276329.0,2,Music,2,Music
2. Novomeški 1/2 maraton,novomeški maraton sobota otvoriti otrok otroški tek slediti pohod novomeški grič nordijski hoja canicross tek pes nedeljski program pričeti osrednji prireditev novomeški polmaraton rekreativen tek,2019-10-05 15:00:00,523,318320722023550.0,"3,4,16","Sports,Volunteering,Kid Friendly",3,Sports
Winter festival // ŠOU // Ekskluzivna cena // 199€,dišati sneg nikakor misliti bel strmina potem winter festival šou praviti odgovor vprašanje praznik kraljevati najbolj priljubljen smučišče december peljati predprazničen vikend poln sneg bel strmina zabava slovenski študent vedno povsod narediti žur jutranji ura pridružiti italijanski južen tirolski najbolj obiskan atraktiven smučarski središče zinnen dolomites občutiti zimski idila kjer odviti winter festival prijava december kraj zinnen dolomites cena več informacija tilenvodebzmavc gmailca cena oseba vključevati nočitev apartma dneven smučarski vozovnica posteljnina brisača apartma festivalski zapestnica vključevati dneven animacija večeren dogodek coris nezgoden zavarovanje avtobusen prevoz san candida kompas young predstavnik agencija obvezen doplačilo destinacija končno čiščenje apartma turističen pristojbina znesek lahko prinesti študentski kampus prostor resor obštudijski dejavnost dalje ponedeljek torek sreda četrtek obveznost lahko poravnati plačilen naloga upn upnje lahko znesek poravnati več oseba hkrati partner dogodek šou ljubljana kompas young fitnes klub legionar študentski kampus študentski novica training center,2019-12-12 14:00:00,150,117002031718504.0,3,Sports,3,Sports
Koncert Mi2 in SARS za Groševih 20 let,letos ška groš praznovati leto zato groševec namen pripraviti glasen najbolj atraktiven odmeven koncert zgodovina grosuplje kjer glasben okus najti sars lumberjack zgrešen primer dje nicky kdaj koncert odvijati sobota november dalje kje gasilski center grosuplje grosuplje ljubljana mesten avtobus drugače medkrajeven linija pot november voditi grosuplje karta najti facebook stran lahko kupiti mojekartes bencinski servis omva petrol paziti november prehiteti karta takrat drago groševec obljubljati hud žur videti,2019-11-09 19:00:00,3101,2435922456443198.0,2,Music,2,Music
Nočni pohod z lučkami - Pot močvirskih škratov na Mali plac,pot močvirski škrat mali plac ponoči nočen škratolovski pohod postati praviti hit začinjen močvirski družinski škratolovščina nočen pohod lučka jeseni zgoditi sobota november dobiti izhodišče pot športen park bevka bevka početi škrat mali plac objem trden priti sam prepričati lučka obvezen čakati sprehod interpretativen vodnik imeti pohoden obutev malica naglaven lučka praviti nočen piknik ljubljanski barje mali plac čaroben kraj poln nenavaden cvetlica žival brbotati regelj šumeti žvrgoleti leto prekrivati mah segati globoko gozd kraljestvo močvirski škrat mali plac živeti močvirski škrat ušpičiti danes škrat uročiti mali plac postati narobe plac naseliti zoprn komar nadležen mušica gristi lesti pika brenčati renčati brrrr otrok lahko mali plac rešiti škratji urok pot otrok pomoč močvirski beležka dobiti izhodišče pot športen park bevka iskati skrivnosten izrek pregnati urok močvirski škrat uspeti pot pomagati barjanski žival srečati pot velik lesen skulptura žig didaktičen element pot leten čas čudovit narava poskrbeti pot zabava cel družina pot otrok zlahka prehoditi čakati pravi močvirski dogodivščina pot močvirski škrat mali plac imeti zgodba slikanica mali plac urošati grilec ilustrator gorazd vahen zgodba pogumen želva bevkati spoprijeti škratji urok rešiti mali plac pravljica uglasben iziti cdje škratji polšji poznati zgodba močno doživeti pustolovščina mali plac,2019-11-02 17:00:00,213,115155551901447.0,3,Sports,3,Sports
Divanhana,preplet tradicija modernost tradicionalen balkanski glasba poudarek sevdalinka vrhunski bosanski zasedba divanhan veljati najbolj priljubljen zasedba nov sevdah skupina leto ustvarjanje uveljaviti pravi koncerten atrakcija tradicionalno izročilo žanr samosvoj način preobleči sodoben aranžma vač vabljen vstopnina,2019-10-10 19:30:00,171,113406522013518.0,17,Theater,17,Theater
Ko ko ko mični četrtek | ŠTUK,kokokomičen četrtek bližati izpiten obdobje prileči razvedrilen tokrat šoum pripravljati kokokomičen četrtek slovenski mičen gospodična odličen standup komičarka oder stopiti zloglasen lucija ćirović virc kaja grozina kdaj ura kje kavarna štuk vstopnina videti štuk,2020-01-23 20:00:00,356,202091796475825.0,"64,142","Comedy,Stand-up comedy",64,Comedy
Spletna meditacija luninega mlaja: Prijateljstvo z angeli,klicati nadangel mihael mističen rhiannon čas zavezništvo neviden lunin mlaj sporočilo kozmos ljubiti opazovati nočen kraljica mlaj luna pričenjati nov cikel mlaj luna resetirati dajati možnost ponovno zrasti povedan človek videti luna nebo vedeti veljati lahko pričeti znova tokrat lunin mlaj močno podprt stran narava narava podpirati sam prihajati pomoč energija podprtost močen aktivacija iniciirati visok možen točka pomoč imeti zelo lepo ime pomoč ime nadangel mihael rhiannon mlaj zelo poseben tokrat čakati meditacija dogodek lahko spremljati tablica telefon računalnik potrebovati interneten povezava slušalka dogodek zamuditi takoj volja posnetek meditacija lahko narediti kadarkoli energija delovati meditacija meditacija sklepanje zavezništvo angelski svet okrepiti vez angel prositi posebno zavezništvo vodstvo namen bolj jasno slišati usmeritev določen lekcija več potrebovati lahko umakniti prositi posredovanje področje potrebovati podpora visok energija zakodirati nov obnovljen pričakovanje prihodnost glede naučen viden sedaj narediti svet aktivacija nadangel mihaela obdobje delo bolj tesno navada prihajati čas prijateljstvo duša aktivacija merkaba priskočiti pomoč rhiannon mističen kreatorka magičen boginja čaroben pravljičen rojen lunin rojstvo zato močno energijsko potovati delovati močen cikel boginja inspiracija večer navdihniti mistično aktivacija rhiannon pomagati aktivirati merkaba trodimenzionalen krak zvezda povezovati božanski vir božanski vir skrivati esenca duša merkaba vir svetloba vir obilje merkaba omogočati kreativno matrica omogočati duša zasidrati namen način merkaba začeti vrteti zagotoviti rhiannon zakodirati pravljica življenje zaslužiti tukaj zdaj zemlja darilo večer posnetek meditacija blagoslovljen aktiviran slika merkaba dom prinašati visoko frekvenca svetloba vabljen,2020-05-21 21:00:00,230,110247052334151.0,5,Other,5,Other
Boris Brejcha // Kurzschluss,vrhunski nemški didžej hightech minimati boris brejch znan nastop maska joker energija nabit set prihajati sloveniti september gospodarski razstavišče ljubljana plesati ritem hightech minimati taktirka svetoven priznan didžejati boris brejch oboževalec cel svet navduševati odličen techno set maska nepogrešljiv rekvizit oder nastopiti elektronski festival tomorrowland sonus tim warpa exiti kjer plesen ekstaza spraviti več človek uspešnica dio maschinen sinda gestrandeti sir ravealot shaltzentrala prislužiti naziv izjemen talent revija ravelina žur serija techno kurzschluss dogodek leto poskrbeti doza odličen elektronski ritem dober energija scenski dovršen nastop edin pravi techno joker scena omejen število vstopnica cena evro volja starosten omejitev dogodek več boris brejch www fba yti soundclouda posnetek zabava najti spodnji povezava tomorrowland château dejati fontainebleau fora cercl europa bus tour day zadnji dan vstopnica volja prodajen mesto eventim,2019-09-27 22:00:00,10607,243956005758989.0,15,Party,15,Party
Ljoba Jenče: O lepa moja Vida,lep vid slovenski ljudski balada ljubezenski pesem ples ljoba jenče glas kristalen skleda zoran škrinjar klavir lenart krečič saksofon jasen hribernik video predstavnik folkloren skupina val resia rozajanski dolina italij fokloren skupina kal kanal izjemen interpretka balada pravljica ljoba jenče letos vezati koncerten cikel pernahten nit tridesetletnica samostojen koncert vabiti večer slovenski ljudski pesem ples koncerten oblika premieren video srečanje nosilec izročilo delovanje osvetljevati široko paleta izrazen možnost bogat kulturen dediščina častitljiv gost pričarati doživetje izviren živ ljudski dediščina koncerten izvedba balada interpretacija približati izrazno samospev ponekod šanson džez rezija lokovec roden cerknica številen slovenski kraj pevka kariera ponesti globina naravno lepota pesem lhas himalaja ozn new yorek aleksandrija egipt kraljev akademija london korak potrebovati pogum trdno vera moč izročilo lasten narod ljoba jenče nastopiti pianist zoran škrinjar saksofonist lenart krečič predstavnik folkloren skupina val resia rozajanski dolina italij fokloren skupina kal kanal vstopnina reden cena predprodaja november,2019-11-28 20:15:00,109,140016432794318.0,"2,16","Music,Kid Friendly",2,Music
Niko Novak v Pinelini dnevni sobi (Razprodano / Sold out),nika novak dicky hardy incurabiti posneti izdati več album imeti samostojen koncert igrati peti pesem ljubezen pijača smrt,2019-09-27 20:00:00,180,512518355514174.0,2,Music,2,Music
