naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi
10. Nočni tek po stopnicah na Kalvarijo,zmagovalec tradicionalen tek stopnica kalvariti brezplačen dogodek kjer važen rezultat šteti udeležba stopnica voda grič severen stran maribor predstavljati vsakodneven rekreativen poligon mnog mariborčan dogodek brezplačen predhoden prijava potreben prijaviti lahek ura start sam tek lice mesto prijaven služba tekač startati nekajsekunditi razmik sistem prijavljen teči startnina prijava prijava možen dan prireditev naprej zapolnitev mesto več informacija prijeten treniranje pravilnik prireditev nočen tek kalvariti organizator univerziteten športen zveza maribor gosposvetski cesta maribor štartnina štartnina prijava število udeleženec odrasel kategorija omejen število udeleženec otroški kategorija omejen število zapolniti prijava več mogoč prijava možen dan prireditev naprej zapolnitev mesto start tek oza kasneje ura otroški tek organizator pridrževati pravica zadržanje starten številka potreba partnerjev dogodek starta starta tek ura plato športen dvorana vrbanski kalvariti maribor starta otroški tek ura plato športen dvorana vrbanski kalvariti maribor ura starta ostal kategorija tekmovalec startati sekunden intervalo teči lasten odgovornost podelitev podelitev nagrada otroški kategorija start takoj zaključek otroški tek nagrada prejeti dečko deklica kategorija mina kalvarček vključno letnik dečko deklica kategorija kalvarček letnik dečko deklica kategorija senior kalvarček letnik podelitev nagrada ostal kategorija takoj prihod zadnji tekmovalec cilj nagrada prejeti ženski moški rezultat neuraden rezultat tekmovalec kategorija objavljen infa točka organizator prireditev oza minuta zaključek tek pritožba možen minuta objava neuraden rezultat plačilo pritožba infa točka organizator pritožben komisija sestava vodja tekmovanje vodja meritev udeleženec tek obravnavati morebiten pritožba odločitev pritožben komisija dokončen uraden rezultat tekmovalec objavljen spleten stran dan zaključek prireditev ostal tekmovalec lahek pridobiti rezultat infa točka zdrav zabava dogodek oshe porsch maribor škoda slovenija energija plus zavarovalnica sati predan korak red bull under armoura slovenija decathlon slovenija nigrad bodifit maribox dogodek potek okvir festival mlad maribor organizirati mkca maribor več informacija,2019-10-04 17:00:00,1029,147827005308047.0,3,Sports
Jakobovo 2019,leto obet pester program krajeven praznik ura budnica mali pihalen godba občina pesnica neuvirt štajerec ura slovesen svet maša čast svet jakob ura naprej odličen jakobski vino vinoteka žmavca ura kulturen program mali pihalen godba občina pesnica neuvirt štajerec postavitev klopotec,2019-07-28 09:30:00,278,1.0214731062217434e+16,15,Party
Prešernov dan - voden ogled razstave Čast in slava,pokrajinski muzej celj vaba voden ogled občasen razstava čast slava odlikovanje medalje znak značka zbirka pokrajinski muzej celj ogled star grofija razstava vodilo avtor maga damir žerič vstop prost obvezen prijava muzej pokmuzcesa,2020-02-08 11:00:00,105,173797732672850.0,"5,16","Other,Kid Friendly"
Emšo Blues Band,povedati skupina emša blues banda fant prag življenski obdobje glasba igrati ohranjati stik mlad star prijatelj najbolj pomemben dejstvo glasba neizmeren uživati teden vaja zbrati prijatelj podoben nevšečnost podoben pričakovanje podoben veselje emša blues banda sestavljati skupina star mladinec nekje aktiven upokojen praviti star raje vračati spomin človek vesel star let lahek igra glasba sanjati mlad igrati glasba mladost glaven blues ptica različen veter najti skupen imenovalec skupina allman brothers banda igranje skladba tvor železen osrednji del repertoar program dodati skladba znan izvajalec ameriški let prinesti bolj okoren prst spomin zelo dodati potrpežljivost vztrajnost skromen začetek čvrst homogen zasedba lahek pohvala odmeven koncert ljubljanski prešeren trg kino šiški koperski taveren itd mariborski lent samostojen oddaja zasedba pevec kitara basa oreči boben tolkati priti velik dom velik oder igrati tolkalec graditi dinamik zvok poslušalec označiti značilnost pristen vintaga zvok igrati veselje kadarkoli kamorkoli povabiti zasedba emiti pocka vokati kitara eda susšnik kitara janca galič kitara slavca žust basa kitara andreja oreči klavir marka avanza boben david koba tolkati sergej randža boben velik oder spleten stran facebook stran posnetek ameriški rocka let prejšnji stoletje odtisniti pečat anal glasben zgodovina nedvomen pomemben vplivati nadaljnji razvoj rocka pop glasba skupina allman brothers banda lynrd skynrd doobio brothers banda creedenec revivati top blacka crowes eagles steva miller banda stevio ray vaughati amp doubla troubla jje cati tedanji dojemanje rocka glasba dodati nov dimenzija skupina emša blues banda poslanstvo zastaviti ohranjanje dediščina southerna rocka glasba cel mlad postaviti temelj slovenski rocek pop dobiti ambasador oder emšota vnašati izvoren energija zliti brezhiben izvedba zvokoven nastop skupina emša blues banda dvom jamstvo nepozaben southerna rocka užitek popeljati čas rojevati pravi glasba vstop prost,2019-12-14 22:00:00,180,144501068991113.0,2,Music
"KINO na prostem - Traktor, ljubezen in rock'n'roll",vreme ponoven izboljšati čas večer preživeti ogled slovenski film prost torek prostor predvajanje film razgleden ploščad center ogledati film traktor ljubezen rocka nroll vstopnina film filmski zgodba celovečeren igran film traktor ljubezen rocka nroll roman ferija lainšček vankoštanca postavljen zgodnji let prejšnji stoletje čas rojevati rocka nroll rolling stones glasba spreminjati svet breza kmečki fant zakoten prekmurski vas električen kitara nastopati ljudski veselica konkurenca tradicionalen ciganski banda izvajati priljubljen narodnozabaven glasba uspevati bolje uspeti glasba osvojiti srce vaški lepotica silviti hčerka premožen gastarbaiter švica oče poslati domaca kraja najti mož zdrav korenina,2019-07-23 21:00:00,359,693103904085484.0,36,Film
"Dan odprtih vrat ""Na konju v novo šolsko leto""",konjeniški klub vrtnica nov gorica konjeniški zveza slovenija sobota ura dalja vabiti dan odprt vrat okvir projekt konj nov šolski leto čakati bogat glaven spremljevalen program prikaz kovaštvo fizioterapija žival animacija otrok igra poslikav obraz igra srečel stojnica raznovrsten ponudba lokalen kmetov ustvarjalec aktivnost brezplačen vabiti,2019-09-07 10:00:00,173,518162534902032.0,"3,16,272,301,316","Sports,Kid Friendly,Horseback riding,Equine sports,Horse show"
Dr. Veronika Podgoršek: Kako najti ljubezen do sebe in drugega?,pogovor najti ljubezen ljubezen pogovor psihoterapevtka veronik podgoršek strokovnjakinja partnerski odnos spoznati pomemben iskanje skupen pot pomemben začet spoznati motiti stvar človek odzivati poznati sam spoznati polovica pot sreča zadovoljstvo dober odnos vedno potreben zato srečen odnos potrebovati preddispozicija ključ srečen zveza ležati poznavanje želja odziv lep vabiti pridružiti predavanje brezplačen obvezen prijava elektronski naslov mancabolcin luajdovscinas telefonski številka,2019-10-04 18:00:00,449,131507492101.0,27,Health
Latino party // Carnium Kranj,žura latina okus dje rauti cub sals bachati reggatona priti pomigati vstopnina,2019-10-11 22:00:00,110,503698779813597.0,"38,46,47,170","Dance,Salsa dance,Bachata dance,Reggaeton"
★ Največji WILD & DIRTY Party ★ Back to School ★ Club Marco Polo,pena partyje vrač tadicionalen velik spoznaven šolski žura tokrat velik dober vstopnina early bird eura predprodaja eura dan dogodek eura,2019-11-22 22:30:00,814,190837820966492.0,15,Party
MILE KITIĆ // Diskoteka Bugatti // 20.03.2020,izreden stanje zveza koronavirus koncert odpasti,2020-03-20 22:00:00,970,135662987928073.0,15,Party
BurgerFest,edinstven priložnost preizkušanje dobrota spreten rok tekmovalec masterchef kleme lampič tokrat festivalski turneja ustavljati domač najkavarna vabiti,2019-09-20 15:00:00,148,441086872640271.0,"16,18","Kid Friendly,Food"
Dobrodelni koncert: Z gasilci v veseli december,gasilec gasilka pgd blagovica začetek veselg december ponoven organizirati dobrodelen koncert kdaj nedelja ura kje podružničen šola blagovica ansambel banovšek tona serpentinšek ansambel gregor kobati glasben dueta nik anža ansambel luk razpotnik moški pevski zbor czr domžati klap sider rezervacija prodaja karta mogoč nedelja telefonski številka andraža karta stan število karta omejen rezervacija nakup čakati zadnji dan zbran sredstvo namenjen gasilec gasilka pgd blagovica,2019-12-01 16:00:00,179,996625283876005.0,25,Art
GRAND KOLPA FEST,vrten veselica skupina harmonknroll letos potekati nagraden igra vrednost eura vabiti,2019-08-10 19:00:00,212,2467592183491297.0,15,Party
Garažna razprodaja // Junij (drugič) 2019,športen društvo tabor vaba garažen razprodaja junij drugič zgoditi sobota ura park tabor ljubljana tabor tabor ljubljana vabiti poleten garažen razprodaja prost običajen prinesti izbor moden pohištven glasben knjižen otroški izdelek kupovati menjati cena prijavnina prostor miza eura ddv vključen cena prostor miza eura ddv vključen cena prijava zainteresiran prodaja prositi prijaviti naslov dogodek sportnodrustvotabors prijava prositi navesti ime priimek telefon epošta navesti rezervacija prostor miza prostor miza pridruževati pravica zaprtje prijava zapolnitev maksimalen število udeleženec plačan prijava plačilo plačilo predračun elektronski naslov prijava prejeti predračun rok plačilo dan prejem predračun čas prejeti plačilo račun smatrati odstopati prijava rezervacija stornirati plačilo lahek izvesti spleten banka oseben pisarna športen društvo tabor prinestio predračun čas uraden ura ponedeljek petek plačilo vračati primer odpoved dogodek stran tabor navodilo prodajalec miza oštevilčen označen ime prodajalec prodajalec prihod poljuben izbrati miza miza prodajalec volja ura dalja skrb čist urejen okolje postati nalog zato prodajalec prositi odgovoren ravnanje prodajalec prositi dvorana park puščati izdelek prodati prodajalec prostor zapustiti stanje prejeti hvala razumevanje sodelovanje prodajalec obveščati garažen razprodaja prodaja hrana videti tabor,2019-08-31 10:00:00,1458,540832542674300.0,5,Other
Obisk Korantov s Podvincev,kurent reči domač korant podvinec vračati kras nedelja predstavitev tradicionalen ples korantov skok otvoriti letošnji pusten dogajanje dutovlje pliskovica poskrbljen pogostitev pozabiti robec tradicionalen običaj ptujski kurent narekovati kurent tekmovati zbiranje robec tapravi blag kurent zbrati največ obveljati lep zamuditi uvod letošnji pusten sezona nadaljevati naslednji sobota šotor igrišče potekati pustovanje dutovlje dogodek organizirati športen kulturen razvojen društvo plac mladinski pliskovica youth hosti pliskovica kras,2020-02-16 10:00:00,121,2862423693816566.0,"15,16","Party,Kid Friendly"
24.Ljubljanski maraton in Eleven Sportswear,expa ljubljanski maraton velik tekaški sejem slovenija prevzem štarten paket tekač prevzeti štarten paketa testeninek obiskovalec dan akcijski cena razstavljavec spremljevalen program razstaven površina otvoritev predstavitev eliten tekač odpiralen čas četrtek petek sobota nedelja fota arhiv ljubljanski maraton,2019-10-24 09:00:00,2695,214671818598818.0,"3,212","Sports,Running"
Drago Mislej Mef + Koala Voice akustično / festival Kontrada,kud morgan občina kanal predstavljati ponoven obuditev festival kontradati kanal sobota nastopati drag mislje mef skupina noba koati voica akustičen opis mef narodnoosvobodilen bend predstavljati album mef skupina mef narodnoosvobodilen bend nastajati let spreminjati član navdušenje mefov pesem potem dobiti podoba akustičen trio let izdati album naslov dober padel album dati splošen sprejet zdaj zimzelen junak prekomoski brigada amerika gin zabeležen celovečeren televizijski koncert nacionalen let izdaja album skupina ponoven odpraviti studio album svoboda dobiti mali jazzističen prizvok producent andreo ohraniti kantavtorski temelj mefov glasba album postreči radijski uspešnica nebo svoboda zdeti deležen vsesplošen pohvala glasben kritik snemanje album naslov dober let zelo občasen srečanje studio trajati let dober let prejšnji album oktober izšel album naslov dober let najprej mef nastopati prijatelj nekdanji skupina brat potem mlad glasbenik začeti snemanje aktualen album naslov mef album znan pesem obdobje nastopanje brat ukrasti mesto nov padel zastava pot dom mef zapeti švedski pevka marina martensson koncert kanal mef narodnoosvobodilen bend nastopiti električen akustičen postava električen bend drag mislej mef vokati akustičen kitara marka tomič električen kitara jaš hedžeti basa jadran ferjančič klaviatura gregor brajkovič boben brajkovič spremljevalen vokati akustičen trio drag mislej mef vokati kitara gorast radojevič basa armanda šturman kitara koati voica koati voica domač glasben scena aktivneje vključiti leto izdati prvenec kangaro neighboura začeten korak skladba disca ponesti radijski valoviti hiter zlesti koža občinstvo srednješolski bend zmagati natečaj mešanica rocka pop disec punek dober odrski prezenca pričeti pohod domač tuj oder kisovec ljubljana črnomelj moskev liverpool talin varšava groningen nastopiti pixies ljubljanski križanka festival pohod exiti inmusica jesen izdati album wolkenfabrika produkcijski zapakirati danton suppel lanski let izšel akustičen album koati voica izštekan zadnji decembrski dan let zadnji žep ponošen hlače potegniti album horsio dogodek del večleten koncerten ciči pretočnica festival glasba prostor tradicija poskušati šir celoten soški dolina povezati ranolikost kraj prostor glasben žanr poetik ciči dogodek podpirati ministrstvo kultura občina kanal soč posameznik podjetje,2019-07-20 21:00:00,368,107902905904349.0,"2,9,16,56,248","Music,Acoustic music,Kid Friendly,Alternative rock,Singer-songwriter"
Skupinsko delo v psihoterapiji - 6. strokovno srečanje,srečanje ospredje predstavitev različen oblika skupinski del psihoterapevtski svetovalen psihoedukacijski del naštet oblika imeti različen namen cilj tehnika vsebina predmet obravnava vedeti praksa del klient posamezen element oblika del pogost prepletati skupina nuditi prostor kjer posameznik vstop interakcija tukaj zdaj omogočati aktiviranje projektiven vsebina ključen element del psihoterapevtski skupina namen strokoven srečanje seznaniti različen oblika del skupina terapevtski dejavnik skupina ključen uspešen obravnava klientov zanimati skupina vlivati razvoj posameznik posameznik vpliv razvoj skupina vprašati prednost skupinski del nudenje psihološki pomoč človek potrebovati tovrsten obravnava sodelovanje povabiti izkušen strokovnjak različen strokoven pristop dom tujina delati klient raznovrsten psihološki problem vključno imeti lahek težek duševen motnja prisotnost znanje oblikovati kolega zgodovina današnji dan dobiti nov zagon nov možnost topel vabiti slavica ravnik profa soc pedag cti predsednica društvo slovent,2020-01-31 09:00:00,219,2891777641046333.0,27,Health
V svobodo ujeta Evropa?,sodoben evropski družba dobiti nov podoba koncept razvoj narekovati moderen stoletje opredeljevati koncept tveganje tveganje stran sprožiti nesluten neobvladljiv razvoj znanost tehnologija odločitev več povezan blaginja človek množitev kapital ozek interes odločitev bolj obremeniti političen vsebina politik spreminjati trg populist hiter eksperiment vznemirjati javnost poplava informacija pospremljen svoboda govor spodbujen anonimnost tavati sovraštvo apatija radikalizem nezainteresiranost teza videnje družba politika pomen kritičen misel mlad prihodnji odločevalec spregovoriti družben aktivist jadranka jurasa glasbenica mih mazzina pisatelj damjan mandelca sociolog filozof nastje trajkovič študentka sociologija pogovor moderirati tanje fajon poslanka evropski parlament dobiti petek februar ura moderen galerija cankarjev cesta ljubljana neuraden pogovor gost obiskovalec lahek nadaljevati prigrizek prijazen vabiti organizator dogodek pisarna evropski poslanka tanje fajon evropski parlament,2020-02-28 17:00:00,138,727318297397235.0,5,Other
Dobrodelni koncert 2019,gimnazija celj center sodelovanje društvo gcca povezovati nekdanji dijak let teden jesenski počitnice organizirati dobrodelen koncert pomagati človek stiska doslej zbrati več ever denar material podariti dobrodelen namen pomagati žrtev naraven prometen nesreča mnog vrstnik družina spopadati hud socialen stiska zdravstven težava dobrodelen koncert dijak učiteljev vselej udeležiti učenec dijak učitelj ravnatelj sosednji šola številen gostja leto športen dvorana gcca zbrati dogodek več človek organizacija letošnji humanitaren dogodek prevzeti dijak brazred pripravljati zanimiv glasben program koncert nasloviti verjeti sanja vabilo odzvati pevka rebek dremlje legendaren zasedba gcca šlagers glasben skupina takeover dogajanje popestriti plesen skupina tba komedijant gašper bergant twrlingati udovič namen letošnji koncert zbrati več sredstvo družina otrok okolica celj družina trojček jakob kleme filip jakob kleme rojstvo imeti težava filip pomanjkanje kisik porod rojstvo dalja pestiti hud zdravstven težava imeti zelo zahteven oblika cerebralen paraliza nujen potrebovati operacija slovenski zavarovalnica kriti strošek zbran sredstvo koncert letos nameniti filip strošek pot bivanje dodaten terapija vstopnina prostovoljen prispevek vljuden vabiti,2019-10-23 11:00:00,178,99883864300.0,25,Art
Popolno mišično ravnovesje,cilj program napredek vprašati napredek zdeti zadnji čas napredoval zdeti sledenje predpisan program zmeraj narediti korak naprej imeti občutek stran močen boleti mahnji mišica trenirati hud scenarija poškodovati vedno priti določen teža vprašati siguren problem lotiti pravilen način velik program interent del program napisan splošen populacija napisan leto dober program napisan problem napisan čas čas sedenje prisoten manj stres vsakodneven gibanje vsakdanji delavnica popoln mišičen ravnovesje treniranje lotiti drugače najprej ugotoviti razmerje velik nasproten delujoč mišica določiti prioriteta glaven del trening pravilen razmerje mišica ključen direkten vplivati rezultat telovadnica velik moč hitrost odriv dober ekonomik gibanje korak preveriti struktura mišičen vlakno mišica sestavljen bolj hiter počasen vlakno pomemben imeti počasen vlakno drugače odzivati trening hiter vlakno glede mišičen kvaliteta ciljati zadnji korak čakati iskanje ravnovesje velik mali mišiča mišičen skupina pravilen razmerje mišičen skupina zmanjševati faktor tveganje poškodba majhen mišica lokalen stabilizator poljuden rečen zavora pustiti priti poškodba velik majhen mišica tetiv vez delavnica naučiti stranka izbrati pravilen korekcijski vaja kam uvrstiti trening naučiti pravilen izbrati količen intezivnost vaja glaven del trening izenačiti razmerje mišica mišičen skupina najbolj pomemben potrebovati oprema telovadnica znanje posredovati delavnica popoln mišičen ravnovesje kje delavnica potekati kettlebells center kdaj sobota zgronj del telo spodnji del telels delavnica lahek zavleči cilj odgovoriti vprašanje raje rezervirati sobota delavnica kvaliteta omejen človek cena delavnica zunanji gost član kettlebells center izziv trr skba banka namen plačilo pustiti maiti pošta poslati račun,2019-12-14 10:00:00,309,222877727729682.0,53,Fitness
Jazz & Gin weekend,kmalu več infa habits naslov album dober slovenski basist tadej kampel izjemen svetoven merilo iti glasben projekt tadej podpisovati avtor izvajalec producent skladba projekt zajem skladba prelivati zvok jazza funek afrobeati pop projekt izveden fecruar studio acoustica recording prospecti heights brooklyn projekt tadej kampel sodelovati igor lumpert marka črnčece jonathati barber jos evans dejan berden bezjak bruno domiter tadej kamplo basa začeti igrati zgodnji mladost celovec profa uti obiskati city collega new york učilo denis irwin matthew garrison kasneje izobraževanje gur pandit suresh talwalkar puna indija sodelovati mednaroden projekt tuj glasbenik archio shepp pionir fre jazz zvrst justina brown jonathati blak dennis irwin reggio workmann dav lieberman harper tommy cran pandit sures talkawar najbolj znan tolkalec indija sharati shriti stava bet indija gjan sing indija kandio kora seko kouyati sidik camara macuna zagn erich auti michael erian auti dušan hrvaški orkester jazz orkester hrvaški glasben mladina massiti savić hrvaški oliver hrvaški arsen dedić hrvaški dati topica gibonen hrvaški trenuten sodelovati mednaroden priznan umetnik boris cavazza kleme slakonj vlada kreslina zoran predin igor leonarda marka črnčece igor bezget lenarta krečič igor lumpert jura pukl lazara ahmed zumeti kristijan kranjcan dejan pečenka sebastian duh centralen problem pionir balkanski hiphop nina cena resnik sidhart bojen zupančič quarteti patetica papir yan trio banda tadej kampti avtor slovenski učbenik učenje igranje basa kitara nov delo bobnar žati glasbenorazvojen smer leto začeti nastajati podlaga obsežen raziskava področje modalen glasba združevati povsem različen svet jazz arhaičen modalen čas palestrin projekt služiti izhodiščen točka navdih hkrati nov okvir jazzovski osvežujoč glasben koncept pomoč hkrati čudovit glasben tekstura vrniti čas melodija tokrat prirejen jazz kvinteti lenarta krečič sax jan moder kitara gregor ftičar klavir ivara roben križič basa žati boben pridrževati pravica sprememba program,2019-08-02 20:00:00,261,1603294739885167.0,2,Music
RELJA POPOVIĆ  in DINNA | 14. FEBRUAR 2020 | BAR DOLCE VITA,dolec dolec dolec dolec vit gabban vid loc mamači svakog dan velik zabava daleč dolec vit prihajati reljati popović dinen vstopnica dan dogodek karta možen kupiti bar dolec vit vstop polnoleten oseba slišati hit dolec vit tug porscheo mada balkan meduza princez bel amor latina evropa jak lom paka zen opet nem,2020-02-14 22:00:00,1396,1503745203210226.0,15,Party
Zelena transformacija - Večer energetska konferenca,želja osvetliti energetski priložnost izziv štajerski regija širok organizirati niz posloven dogodek večerov energetski konferenca ozek opredeljen tema zelen transformacija dogodek udeleženec govoriti odgovoren proizvodnja obnovljiv vir učinkovit raba energija celovit energetski koncept energetski prihodnost regija vabiti domač tuj strokovnjak oblika predavanje pogovor predstaviti okoljski zakonodaja možnost financiranje praktičen primera izvedba energetski učinkovit projekt lokalen nacionalen globalen raven osrednji regionalen medij severovzhoden slovenija pokrivati dogajanje nacionalen nivo dejaven sooblikovati prihodnost okolje izkoristiti prepoznavnost povezati akter skupen prizadevanje prihodnost trajnosten zdrav prijazen razlog organizacija dogodek povedati uroš hakl direktor časnik večer več informacija dogodek,2019-11-20 08:00:00,128,471228913340094.0,5,Other
3x3 Logatec,sobota pokal perkmandlce seliti logatec izvedba tovrsten turnir logatec turnir potekati športen igrišče knjižnica nasproten stran cesta bencinski črpalka petrola začeti ura zaključiti predvid ura napet košarkarski tekma streči hladen pijača potekati žreb praktičen nagrada tekmovati naslednji disciplina igra met trojka tekmovanje zabijanje met sredin igrišče prijava infa perkmandlcc telefonski številka matica prijavnina prijava sprejemati kasneje četrtek več informacija lahek poklicati telefonski številka matica več turnir pokal lahek prebrati,2019-08-10 15:00:00,121,112284555454831.0,3,Sports
DJ Zeds presents Sladica 20 LIVE,zadnji petek let čas sladica liv dje zeds sladica banda velik gostovlan razprodan svetovati nabava vstopnica vstopnica volja eventimov prodajen mesto sladica banda vokati marina vokati maj keuca vokati jan vokati may vokati lara lov vokati karina zemljič katja sever kržič saš matajič klara klasinc murati jos tom boben rimca basa jan haca kitara tadej košir erika perkusija martin janežič buca saksofon bojen zupančič trobenta tomaž gajšti pozaven domen gantar zvok vid žgajner artwork barbar podlogar vstopnica obiskati,2019-12-27 22:00:00,1462,43956324012.0,2,Music
Kako čustva vplivajo na bolezni in zdravje,čustvo ostati noč prodreti subtilen telo tam ostati dan lahek preiti naprej grob fizičen telo oblika bolezen ruz vsebina čustvo vplivati bolezen srce koža ščitnica pljuča jetra avtoimuna bolezen uho oči alergija intolerance osteoporoza revma rak vpliv delovanje umetnost transformacija negativen čustvo sprostitven tehnika naučiti prepoznati sporočiti telo skrivnost optimalen celosten zdravje vprašanje odgovor andreja pešec univ dipti pol vedski psiholog pedagog strokoven sodelavec zavod slovenija tuj predavanje značilen nenavaden praktičen primera sinteza sodoben celosten znanje modrost motivacijski filozofija zanimiv zgodba resničen življenje prip donacija udeležba eur pogoj obvezen predprijava andrejpesec gmailc več znanjezazivljenje facebook stran znanje življenje infa prijava znanjezazivljenje gmailc facebook znanje življenje vedno dobrodošel dober naprej,2019-09-27 19:00:00,595,586937281318688.0,27,Health
Beach Food Festival,pripravljen nov doza poleten osvežitev nor okus beach food beach gin beach beer brbončica poskrbeti dburger mangoop burgers pizzerija basilica turški restavracija yildiza hati falafel okus orient pišek bar star pisker gostilna pivnica kuhen kolo gostilna kozolec kozjanski dvor volja cok burger waffti obet bogat pestra ponudba gin gostiti gin weekend okušati lahek različen gina berryshek brokno bones limbay gin hendricka gin beer pra bobby dry gin ljubitelj pivo navdušen pivo pivovarna skubeer brewing green gold brewing pivovarna haler caster pivovarna eng ara ready for august culinary adventura velenje laka hav prepared greati deal mada besti cooks various com anda enjoy oura velenje beach,2019-08-24 11:00:00,1308,614314245300208.0,"16,18,163","Kid Friendly,Food,Food festival"
Silvestrovanje na prostem v Brežicah 2019,program modrijan popularen slovenski ansambel modrijan letošnji brežiški predsilvestrski večer dodobra zagreti modrijan začetek segati leto sedaj izdati velik majhen plošča ansambel leto noč modrijan število poslušalec glasba leto višati tokrat poskrbeti izvrsten vzdušje mesten jedro brežice vabiti obvezen smer popularen skupina dandanes vedno uspešen nastop prireditev hit srce popotnik maj praznik dom zaplesati čačač postati zimzelen vedno pogost slišan radijski postaja vabiti star mesten jedro brežice dočakati nov leto družba svojec prijateljev znanec zaplesati skupina obvezen smer,2019-12-30 21:30:00,1001,329944960679997.0,5,Other
Sladkih6 2019,šesturen vzdržljivosten tek slovenija organizirati let iti vzdržljivost preizkušnja poskušati tekmovalec ura preteč več kilometer proga krožen celota asfaltiran dolžina krog imeti aims certifikati število tekmovalec omejen tekmovalec omejen logističen pogoj stran prireditev poseben čar tekmovanje sodelovati rekreativen tekač izkušen tekač svetoven merilo dosegati zavidljiv rezultat veselje naznanjati popolnoma nov slovenski tekaški prostor neobdelan projekt trojček slovenski ultra tek trojček slovenski ultratek slovenian houra runa kranje sladek mrzel reka ajdovščina,2019-11-09 10:00:00,134,143867289020202.0,53,Fitness
Lolita (SI),zasedba loliti star slovenski skupina leto razveseljevati igriva neulovljiv drzen godba skupina doslej izdati vrsta različen album zasloveti gledališče predstava medved sodelovanje igralec zijah sokolović nastopati cerkno budimpešta niša kumanov telaviti obvladati velik mainstrea odreti majhen alternativen klub skupina dober let obstoj zamenjati članov sedanji zasedba primož simončič iztok vidmar sestavljati bobnar uroš srpčič pianist saksofonist lada jakš pevka než trobec violinist matjaž sekniti vstopnina musica policy hienergyturbopornofunketnooverdrivecrossovergrooviejazz primer slab vreme prireditev potekati dvorana pričetek,2019-08-14 21:00:00,142,356008681090989.0,2,Music
Kamfest šesti dan: Severa Gjurin / (Izštekani) Haiku Garden,sredin teden kamnik pripeljati severa gjurin totalen izštekan haik garden mrtev umirati obilo glaven trg diversity sejem naprej park mlad park evropa karaok night otroški oder zavod vitkar cirkus mesec cirkuški predstava mobilen oder glaven trg kamniški simfonija resen glasba galerija mih maleša drobnogled čas javen vodstvo razstava samostanski oder sever gjurin dejan lapanje uroš rakovec večer kitarskovokalen blagozvočnost mesten oder izštekan haik garden shoegaza improkamfesti dom kultura kamnik big bend kino kamfesti mrtev umirati zomba komedij improkamfesti piñati neuraden program impra dvojka ogled dogodek festival brezplačen označen vstopnina eura predprodaja eura dan dogodek prodaja vstopnica prodajen mesto sistem mojekartes vstopnina mogoč poravnati vhod prizorišče organizator pridrževati pravica sprememba program več program,2019-08-14 17:00:00,299,112152111997.0,2,Music
Udflugt / Utflukt / Utflykt,razstava študentov seminar žnidaršič ula ponedeljek oktober ura vabiti odprtje razstava udflugti utflukt utflykt skandinavski prestolnica objektiva skica študentov seminar žnidaršič fakulteta arhitektura univerza ljubljana prihod spontan izkusiti sever oviti vzdušje zavedeti takoj zgoditi svetloba sam krajina rastje grajen okolje resnica tukaj sever sonce vziti zeniti poševen oplaziti stvar raztopiti igra svetloba senca christian norbergschulz nightlands nordica building fotografija skica študent seminar žnidaršič postavitev razstava astrid magajna marcela vičič ajda žagar mentor doc rok žnidaršič asist katarina čakti gostujoč mentor aleksandra ostan skica nasloven fotografija dogodek sigurd lewerentz cerkev peter klippan danski avtor skica bor urh,2019-10-21 20:00:00,141,1006255369724343.0,5,Other
Predstavitev gasilskih vozil ter reševalne in zaščitne opreme.,vabilo predstavitev vabiti pridružiti predstavitev gasilski vozilo reševalen zaščiten oprema kje moravski toplica začetek ura naslov parkirišče prodajalen mercator kranjčev ulica moravski toplica predstaviti gasilski voziti aca gvca hidravličen ploščad dti gvma zaščiten reševalen oprema črpalka spechtenhauser pumpen gmb haix obutev leader prezračevalnik sati tesnilen dvižen program weber rescu systems oprema dräger zaščiten merilen oprema preventdeloz nov zaščiten obleka sesalec hyder boy prenosen črpalka magirus group pripraviti predstavitven točka lahek oprema preizkusiti končan predstavitev sled pogostitev druženje vljuden vabiti,2019-09-17 16:00:00,425,2405729679510586.0,"4,15,16","Volunteering,Party,Kid Friendly"
Kvalifikacije za EP WA 2021: Slovenija - Nizozemska,ženski reprezentanca slovenija oktober odigrati kvalifikacijski tekma murski sobota kjer gostiti evropski prvakinja vstop prost,2019-10-04 19:00:00,442,182187571812552.0,"3,16","Sports,Kid Friendly"
Praznik Orehov 2019,društvo razvoj ohranitev podeželje orehek prirejati sobota praznik orehov družben dom orehek ogledati lahek razstava orehov dobrota otrok imeti zabava napihljiv igral hrana pijaca poskrbljen zabavati ansambel dolenjski vljuden vabiti,2019-08-24 19:00:00,152,109338225750799.0,5,Other
17.1. 2020 - Petkova Pumpa & Johny DJ - Antic Caffe Šenčur,naveličan čakanje dober žura potem priti petek petkov pumpa johny djje poskrbeti odličen nepozaben zabava prvič let pričakovati hostes odličen postrežba petek vstopnina antica caffe šenčur vabiti,2020-01-17 21:00:00,288,313663732053000.0,38,Dance
Sobotna zabava na glavnem odru,sobota glaven oder glaven trg nastopiti ansambel lojzet ogorevec gledališki folkloren skupina gluh ljubljana folkloren skupina veržeja ansambel veseljak ansambel upanje ansambel lunec kvinteti pomurski,2019-09-07 10:00:00,125,117294884967629.0,2,Music
